CHST6,C18orf18,OSTN,FOXN3,NINJ1,LAPTM4B,ESPL1,KIAA0329,THSD1,EDG4,label
0.4711398207959992,0.5254530193057819,0.669786417086633,0.37474601526166074,0.6245039952166114,0.42812771003309547,0.5063243106501392,0.6872151701753995,0.43926359256710257,0.591023908829231,1
0.5707439049802042,0.45469806942181407,0.6268298536117111,0.30067277735133424,0.7123987606675002,0.6160734828239209,0.6608483008685387,0.7420803414623302,0.49340445056205556,0.6427774187863478,1
0.4000138917830104,0.6913543672542339,0.48236141108711306,0.42990021221835917,0.4369190628906887,0.5827124223492556,0.652542372881356,0.519818598137074,0.48961917871071353,0.7785936673911766,1
0.15232340070848094,0.33817212264849655,0.7456203503719703,0.41633178308574526,0.6327118551937816,0.35559173849176173,0.6369845686820137,0.689504924082431,0.5270704289974766,0.565998942607061,1
0.6390220184760714,0.5657433466646917,0.33933285337173025,0.4112746647401454,0.5845518291025711,0.3995274587190063,0.3994856227337887,0.644354533935042,0.5834480385409497,0.545967220818892,1
0.726401333611169,0.484767688737471,0.7048236141108711,0.4754368537499436,0.6078164918193183,0.3055324496044457,0.6035500463782781,0.5709045639463797,0.45818995182381284,0.44157904012218757,1
0.3098562200458429,0.6804424035945292,0.7928965682745381,0.44116584639003026,0.24900799043322283,0.46826717165460224,0.6091576018214016,0.8255785518973834,0.595893553567332,0.647946895376843,1
0.1313468083628534,0.6210437959808424,0.7643388528917687,0.23312412516367903,0.8346469533076044,0.7890554483832717,0.5016443207690362,0.6007825178400729,0.26433815095205326,0.3996945309287434,1
0.7200111134264083,0.21507924751888607,0.873050155987521,0.2971282792251772,0.5732456378757407,0.24881864679751542,0.44354498692975797,0.7437698686170331,0.47551043817389316,0.39593491159020144,1
0.4648190595262902,0.4438354811632845,0.630669546436285,0.4106425249469454,0.6987008751426863,0.4338619188361678,0.22274222109790043,0.6216888284780598,0.5941729754530856,0.516360218527874,1
0.18746961172466492,0.5529057423591567,0.6393088552915767,0.39650968528468866,0.6086861988367669,0.7787816576111004,0.3550046378278101,0.6583153635817975,0.5832759807295251,0.5712859073018857,1
0.604848232270612,0.7701081321285735,0.6239500839932806,0.3997381135142457,0.380551176822308,0.6305682884094651,0.5153891559153385,0.5306004490585332,0.38649919706354674,0.7250190918169535,1
0.8906716677085504,0.6801955265886536,0.5589152867770578,0.4902469860477717,0.4595858020329402,0.5468824664177121,0.4466649801838267,0.741213347264522,0.26192934159210834,0.7985079010750161,1
0.21066888935194833,0.5227867476423246,0.6947444204463643,0.44152706912900164,0.7900744686633691,0.5884023857140326,0.3723754110801923,0.5910899673209878,0.5147396191787108,0.7006990542207601,1
0.419045634507189,0.6017380141213647,0.6364290856731462,0.28561430442046326,0.615861281730717,0.5468205228040987,0.6347499789189646,0.5344177641712266,0.5556893782977748,0.6434236033601597,1
0.4455789400569563,0.6473115094060139,0.6076313894888409,0.32785478845893345,0.3934880687068544,0.6619737005114774,0.4201450375242432,0.5921125758619923,0.4691442991511815,0.3945250543382482,1
0.7135514343265958,0.6012442601096134,0.8288936885049196,0.34049758432293314,0.4419198782410175,0.5320248482381464,0.5244118391095371,0.5933130293666495,0.36619637531543936,0.6625154203136931,1
0.3242342154615545,0.5611514343554042,0.7420206383489321,0.35490134103941845,0.5351959558623689,0.4198007185459177,0.29720043848553845,0.7055776626725652,0.7576278963064924,0.5662926628678846,1
0.25720636243661876,0.9772873154594381,0.478521718262539,0.5371833656928704,0.24205033429363484,0.3723253632550483,0.2953031452904967,0.7079690422731126,0.7264280798348246,0.03512894319450155,0
0.38473293047162604,0.3088925097516418,0.802975761939045,0.22684788007405066,0.42267761047996955,0.42883563704582045,0.3691289316131209,0.6516906386857256,0.4185019499885295,0.5484344710098102,1
0.5481002986733348,0.5729521552362613,0.5934725221982242,0.46035580439788687,0.7035386204272436,0.5148222218289292,0.45438063917699645,0.5774403663606251,0.5653819683413628,0.4307113904717147,1
0.8848371188442037,0.16135881104033978,0.5049196064314855,0.313383302478891,0.36179811925857475,0.5083977841884499,0.683953115777047,0.5175955360914123,0.268582243633861,0.6409563531692415,1
0.16649301937903732,0.7241396336345233,0.7780177585793138,0.24786652819795008,0.4911670381040387,0.5938268764490378,0.6492958934142845,0.5246426427761598,0.3538655654966736,0.4845209422545967,1
