CHST6,C18orf18,OSTN,FOXN3,LAPTM4B,ESPL1,KIAA0329,THSD1,EDG4,PKMYT1,label
0.23956379801347505,0.4828914234928159,0.6786657067434605,0.061520747731069636,0.36436118436189213,0.4026477780588583,0.648711735544539,0.25447350309704064,0.6915349820830641,0.4730673189624421,1
0.1521844828783775,0.5665333530834938,0.5658747300215983,0.3050977559037341,0.6243473797851435,0.5852938696348765,0.5770846764333192,0.5068823124569856,0.5830934617869941,0.5708097640523876,1
0.47489060220879353,0.5189354663506641,0.7564194864410847,0.34819614394726145,0.6955471390899592,0.5288810186356354,0.5612564746682079,0.3813948153246158,0.6829583504670151,0.630178871732151,1
0.7353615336528444,0.888411593344196,0.6743460523158147,0.5404117939224274,0.5712440047431108,0.5441015262669703,0.7120086635903722,0.5073984858912595,0.6230394172590025,0.4869795647964124,1
0.459123428492047,0.2478645138991754,0.7161027117830574,0.3183049622973766,0.5813231155867828,0.6366051100430054,0.5414267612209056,0.36172287221839877,0.5132467837631439,0.6239616776231973,1
0.49739529068555954,0.4421073421221548,0.7684185265178787,0.42615252630153067,0.2915862874537638,0.46479467071422553,0.7432585643465308,0.5578114246386787,0.39793220936380186,0.3037252204046273,1
0.42481072445648405,0.49800029625240705,0.5608351331893449,0.42870366189551634,0.6988566978744488,0.546040981533013,0.6209901518351376,0.43318421656343203,0.7141514421664806,0.5107781684757683,1
0.13238869208862958,0.8148422455932455,0.42044636429085674,0.6160202284733824,0.36827248110719735,0.12505270258875123,0.7597473331194966,0.9753383803624686,0.4374082124184926,0.10207409672323298,0
0.11502396332569287,0.7533204957290278,0.497960163186945,0.6136271278276968,0.4111551599030139,0.23239733535711282,0.7567970122046106,0.6554829089240652,0.42830288433296126,0.06854201702084295,0
0.43245120511217616,0.5076284994815583,0.779457643388529,0.366212128053461,0.37073252747641705,0.5207437389324564,0.6500233421514794,0.4454003211745814,0.6380191505610057,0.5794730673189625,1
