CASC5,MAMDC2,FGL1,NAT8,NASP,BRIP1,ETV4,GPSM2,GINS1,PROZ,label
0.8849251247920132,0.15996949330282662,0.742776187243588,0.6858351377209325,0.7224458983392048,0.5822314049586775,0.6706877729257643,0.7300868156622542,0.6424502784407319,0.7344571324995468,1
0.8858569051580698,0.16035082701749367,0.6837165372922878,0.6872450777984792,0.6383995973829893,0.5873027798647632,0.6780567685589521,0.8270773747753676,0.5859347653142403,0.5593619720862788,1
0.8850804215196894,0.16187616187616186,0.6749505622620349,0.6908706379978851,0.6373930548565676,0.5849361382419231,0.6746179039301312,0.8262674327368448,0.636340493237868,0.642015588181983,1
0.8936217415418746,0.08084274750941417,0.5819780998199582,0.6912734780200412,0.5163563160543533,0.5328700225394438,0.5989628820960701,0.7292768736237313,0.7656642800318219,0.3799166213521842,1
0.886167498613422,0.1605414938748272,0.7178064401877159,0.6880507578427916,0.639909411172622,0.5884297520661155,0.6796943231441049,0.8282922878331519,0.6475417661097852,0.55573681348559,1
0.8754520244037715,0.17426950760284093,0.8513326052950031,0.7033586786847272,0.5792652239557121,0.6027422990232906,0.700491266375546,0.7794932800121491,0.6033731105807478,0.5669748051477252,1
0.886167498613422,0.16721483388150055,0.6843363537085683,0.6860365577320106,0.7058379466532461,0.5874154770848984,0.6782205240174674,0.826064947227214,0.5896260938743039,0.5791190864600326,1
0.9346200776483639,0.16321082987749652,0.7066497446946667,0.7261191399365526,0.614494212380473,0.5814425244177308,0.6695414847161574,0.8157381862360474,0.6546698488464598,0.5448613376835236,1
0.8170604547975595,0.10677344010677342,0.7108999144063045,0.6977189183745405,0.5218922999496728,0.5960931630353116,0.6913209606986901,0.7371738084993292,0.6435958631662689,0.39006706543411274,1
0.8937770382695507,0.16893083559750224,0.6673356748620172,0.6880507578427916,0.4164569703069954,0.6764462809917353,0.6868995633187774,0.6472702422232909,0.5864439140811456,0.5753126699293094,1
0.8884969495285635,0.2612135945469279,0.7232962427319147,0.6858351377209325,0.6482133870156014,0.5918106686701726,0.6846069868995635,0.826064947227214,0.5860620525059667,0.6644915715062534,1
0.8748308374930671,0.14662281328947996,0.6954045039992918,0.6793896973664333,0.6436839456467035,0.5827948910593537,0.6715065502183408,0.8313295704776127,0.5989180588703262,0.5709624796084829,1
0.8855463117027177,0.16588016588016588,0.6781381895457632,0.6872450777984792,0.6222949169602415,0.6026296018031554,0.7003275109170307,0.8141183021590017,0.6406682577565632,0.566068515497553,1
0.8870992789794786,0.1605414938748272,0.753135975915705,0.6884535978649479,0.6404126824358328,0.5889932381667917,0.6805131004366813,0.8286972588524134,0.6391408114558472,0.5570056189958311,1
0.7644148641153632,0.1447161447161447,0.7333018505947286,0.8139382647666045,0.7511323603422244,0.7660405709992485,0.6331877729257643,0.816143157255309,1.0,0.6336777234003987,1
0.886167498613422,0.163020163020163,0.6763672854992474,0.6864393977541668,0.6386512330145948,0.5871900826446279,0.6778930131004368,0.8272798602849983,0.5847891805887033,0.5506615914446257,1
